,Rented Bike Count,Temperature(Â°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(Â°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Time,FunctioningDay0,FunctioningDay1,Holiday0,Holiday1,Season0,Season1,Season2,Season3
2040,226,4.6,82,3.0,240,1.7,0.0,0.0,0.0,2018-02-24 00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2041,263,4.0,83,1.7,235,1.3,0.0,0.0,0.0,2018-02-24 01:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2042,197,3.7,82,1.6,229,0.9,0.0,0.0,0.0,2018-02-24 02:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2043,133,3.5,82,2.9,217,0.7,0.0,0.0,0.0,2018-02-24 03:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2044,63,2.7,82,2.8,222,0.0,0.0,0.0,0.0,2018-02-24 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2045,58,1.8,84,2.7,214,-0.6,0.0,0.0,0.0,2018-02-24 05:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2046,72,1.2,83,2.5,245,-1.3,0.0,0.0,0.0,2018-02-24 06:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2047,108,0.6,86,1.6,211,-1.4,0.0,0.0,0.0,2018-02-24 07:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2048,203,0.0,77,2.8,289,-3.5,0.06,0.0,0.0,2018-02-24 08:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2049,253,0.6,64,3.8,430,-5.4,0.65,0.0,0.0,2018-02-24 09:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2050,259,0.8,60,2.9,497,-6.0,0.71,0.0,0.0,2018-02-24 10:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2051,298,2.2,50,2.4,608,-7.1,1.1,0.0,0.0,2018-02-24 11:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2052,363,4.0,37,1.4,763,-9.4,1.75,0.0,0.0,2018-02-24 12:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2053,412,5.3,29,2.1,1007,-11.3,2.08,0.0,0.0,2018-02-24 13:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2054,454,6.9,19,1.9,1843,-15.1,2.36,0.0,0.0,2018-02-24 14:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2055,467,6.7,24,2.7,1536,-12.4,1.95,0.0,0.0,2018-02-24 15:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2056,509,5.9,21,3.0,1864,-14.8,1.34,0.0,0.0,2018-02-24 16:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2057,462,4.9,28,3.1,1477,-12.1,0.77,0.0,0.0,2018-02-24 17:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2058,379,3.5,30,2.9,1726,-12.4,0.31,0.0,0.0,2018-02-24 18:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2059,306,2.1,27,2.8,1883,-15.0,0.01,0.0,0.0,2018-02-24 19:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2060,233,1.1,32,1.4,1785,-13.8,0.0,0.0,0.0,2018-02-24 20:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2061,232,0.7,31,1.3,1923,-14.5,0.0,0.0,0.0,2018-02-24 21:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2062,219,0.1,32,0.9,1937,-14.6,0.0,0.0,0.0,2018-02-24 22:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2063,187,-0.6,39,1.3,1731,-12.8,0.0,0.0,0.0,2018-02-24 23:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2064,182,-1.1,44,1.2,1741,-11.8,0.0,0.0,0.0,2018-02-25 00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2065,189,-1.4,43,0.6,1791,-12.3,0.0,0.0,0.0,2018-02-25 01:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2066,124,-1.5,46,1.1,1744,-11.6,0.0,0.0,0.0,2018-02-25 02:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2067,103,-1.3,42,0.8,1648,-12.5,0.0,0.0,0.0,2018-02-25 03:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2068,52,-1.1,43,0.7,1558,-12.1,0.0,0.0,0.0,2018-02-25 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2069,37,-0.7,41,0.9,1442,-12.3,0.0,0.0,0.0,2018-02-25 05:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2070,54,-0.8,44,0.6,1541,-11.5,0.0,0.0,0.0,2018-02-25 06:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2071,77,-1.0,47,0.9,1552,-10.9,0.0,0.0,0.0,2018-02-25 07:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2072,158,-1.3,54,0.6,1597,-9.4,0.06,0.0,0.0,2018-02-25 08:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2073,173,-0.3,48,1.1,1394,-10.0,0.43,0.0,0.0,2018-02-25 09:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2074,195,2.1,42,1.1,1564,-9.5,1.12,0.0,0.0,2018-02-25 10:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2075,244,4.3,29,2.6,1293,-12.2,1.87,0.0,0.0,2018-02-25 11:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2076,396,5.5,25,3.1,1652,-13.0,2.28,0.0,0.0,2018-02-25 12:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2077,482,6.1,22,2.4,1710,-14.0,2.5,0.0,0.0,2018-02-25 13:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2078,572,7.0,23,2.4,1645,-12.7,2.52,0.0,0.0,2018-02-25 14:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2079,612,7.5,21,2.7,1900,-13.4,2.22,0.0,0.0,2018-02-25 15:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2080,688,7.6,18,3.2,1930,-15.2,1.73,0.0,0.0,2018-02-25 16:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2081,589,6.9,25,2.9,1795,-11.8,1.07,0.0,0.0,2018-02-25 17:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2082,402,5.2,30,2.8,1877,-11.0,0.36,0.0,0.0,2018-02-25 18:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2083,297,3.1,40,2.6,1804,-9.2,0.01,0.0,0.0,2018-02-25 19:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2084,232,1.3,49,2.8,1683,-8.2,0.0,0.0,0.0,2018-02-25 20:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2085,239,0.2,55,2.5,1942,-7.7,0.0,0.0,0.0,2018-02-25 21:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2086,230,0.0,54,2.5,1929,-8.2,0.0,0.0,0.0,2018-02-25 22:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2087,173,-0.3,58,1.0,1945,-7.5,0.0,0.0,0.0,2018-02-25 23:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2088,135,-0.9,60,0.7,1844,-7.7,0.0,0.0,0.0,2018-02-26 00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2089,122,-1.2,63,0.9,1846,-7.3,0.0,0.0,0.0,2018-02-26 01:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2090,80,-1.7,66,0.8,1631,-7.2,0.0,0.0,0.0,2018-02-26 02:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2091,46,-1.9,67,1.0,1575,-7.2,0.0,0.0,0.0,2018-02-26 03:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2092,46,-2.3,69,1.1,1411,-7.2,0.0,0.0,0.0,2018-02-26 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2093,65,-2.5,73,0.8,1134,-6.6,0.0,0.0,0.0,2018-02-26 05:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2094,161,-2.7,72,0.5,1253,-7.0,0.0,0.0,0.0,2018-02-26 06:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2095,402,-3.1,68,0.8,1417,-8.1,0.0,0.0,0.0,2018-02-26 07:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2096,786,-2.9,63,0.7,1386,-8.9,0.11,0.0,0.0,2018-02-26 08:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2097,416,-1.1,53,0.9,1308,-9.4,0.72,0.0,0.0,2018-02-26 09:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2098,289,1.9,46,1.1,1233,-8.5,1.39,0.0,0.0,2018-02-26 10:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2099,356,4.6,37,1.6,1309,-8.8,1.95,0.0,0.0,2018-02-26 11:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2100,428,6.9,28,1.1,1301,-10.3,2.35,0.0,0.0,2018-02-26 12:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2101,444,8.1,26,1.2,1422,-10.2,2.48,0.0,0.0,2018-02-26 13:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2102,455,9.9,25,1.5,1401,-9.2,2.43,0.0,0.0,2018-02-26 14:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2103,521,10.3,23,2.1,1317,-9.9,2.09,0.0,0.0,2018-02-26 15:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2104,555,9.5,31,3.1,973,-6.8,1.54,0.0,0.0,2018-02-26 16:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2105,646,8.7,30,3.1,1117,-7.9,0.96,0.0,0.0,2018-02-26 17:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2106,929,7.2,26,2.3,1398,-11.0,0.33,0.0,0.0,2018-02-26 18:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2107,619,5.5,30,2.7,1150,-10.7,0.01,0.0,0.0,2018-02-26 19:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2108,483,4.3,32,1.7,1101,-10.9,0.0,0.0,0.0,2018-02-26 20:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2109,512,3.3,36,1.4,1110,-10.3,0.0,0.0,0.0,2018-02-26 21:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2110,443,2.7,40,1.0,1089,-9.5,0.0,0.0,0.0,2018-02-26 22:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2111,308,2.8,39,0.7,1065,-9.8,0.0,0.0,0.0,2018-02-26 23:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2112,236,2.6,40,1.8,1095,-9.6,0.0,0.0,0.0,2018-02-27 00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2113,213,2.1,44,0.9,1107,-8.9,0.0,0.0,0.0,2018-02-27 01:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2114,145,1.5,44,1.2,1079,-9.4,0.0,0.0,0.0,2018-02-27 02:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2115,102,1.1,44,1.0,1128,-9.8,0.0,0.0,0.0,2018-02-27 03:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2116,62,0.9,46,0.8,1140,-9.4,0.0,0.0,0.0,2018-02-27 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2117,72,0.6,50,0.1,1026,-8.6,0.0,0.0,0.0,2018-02-27 05:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2118,183,0.6,50,0.4,985,-8.6,0.0,0.0,0.0,2018-02-27 06:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2119,443,1.3,47,0.7,1084,-8.7,0.0,0.0,0.0,2018-02-27 07:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2120,767,2.0,51,0.7,990,-7.0,0.0,0.0,0.0,2018-02-27 08:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2121,455,2.5,51,1.0,866,-6.6,0.07,0.0,0.0,2018-02-27 09:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2122,261,3.3,47,0.7,818,-6.9,0.22,0.0,0.0,2018-02-27 10:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2123,342,4.8,41,0.8,792,-7.3,0.53,0.0,0.0,2018-02-27 11:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2124,353,5.4,37,0.7,815,-8.1,0.43,0.0,0.0,2018-02-27 12:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2125,335,5.8,39,0.6,931,-7.1,0.35,0.0,0.0,2018-02-27 13:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2126,357,6.3,40,0.8,943,-6.3,0.34,0.0,0.0,2018-02-27 14:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2127,402,6.7,48,0.8,817,-3.5,0.39,0.0,0.0,2018-02-27 15:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2128,411,6.9,54,1.1,692,-1.7,0.32,0.0,0.0,2018-02-27 16:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2129,529,6.8,57,1.0,623,-1.1,0.16,0.0,0.0,2018-02-27 17:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2130,897,6.6,62,0.8,522,-0.1,0.05,0.0,0.0,2018-02-27 18:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2131,616,6.1,44,1.0,750,-5.2,0.0,0.0,0.0,2018-02-27 19:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2132,461,5.9,44,1.3,733,-5.4,0.0,0.0,0.0,2018-02-27 20:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2133,449,5.7,46,0.8,727,-5.0,0.0,0.0,0.0,2018-02-27 21:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2134,461,5.4,49,1.1,687,-4.4,0.0,0.0,0.0,2018-02-27 22:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2135,310,5.3,53,1.5,582,-3.5,0.0,0.0,0.0,2018-02-27 23:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2136,266,5.1,52,1.1,614,-3.9,0.0,0.0,0.0,2018-02-28 00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2137,229,5.0,53,1.4,557,-3.8,0.0,0.0,0.0,2018-02-28 01:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2138,174,5.2,54,1.3,516,-3.3,0.0,0.0,0.0,2018-02-28 02:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2139,116,5.3,55,1.7,488,-3.0,0.0,0.0,0.0,2018-02-28 03:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2140,72,5.4,56,1.7,472,-2.6,0.0,0.0,0.0,2018-02-28 04:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2141,62,5.2,59,1.7,437,-2.1,0.0,0.0,0.0,2018-02-28 05:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2142,165,5.2,60,1.9,430,-1.9,0.0,0.0,0.0,2018-02-28 06:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2143,426,5.5,59,2.8,448,-1.8,0.0,0.0,0.0,2018-02-28 07:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2144,816,5.7,57,2.5,458,-2.1,0.04,0.0,0.0,2018-02-28 08:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2145,419,6.2,55,2.4,478,-2.1,0.13,0.0,0.0,2018-02-28 09:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2146,285,6.5,53,2.0,518,-2.4,0.21,0.0,0.0,2018-02-28 10:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2147,332,7.1,50,2.2,534,-2.6,0.33,0.0,0.0,2018-02-28 11:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2148,305,7.6,48,2.6,600,-2.7,0.39,0.0,0.0,2018-02-28 12:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2149,28,7.6,57,2.3,554,-0.3,0.33,0.0,0.0,2018-02-28 13:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2150,17,5.7,80,3.7,348,2.5,0.13,0.0,0.0,2018-02-28 14:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2151,7,4.8,87,2.9,312,2.8,0.08,4.5,0.0,2018-02-28 15:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2152,9,4.2,89,2.5,479,2.5,0.07,0.0,0.0,2018-02-28 16:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2153,8,3.8,90,2.7,654,2.3,0.0,0.0,0.0,2018-02-28 17:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2154,11,3.6,90,2.1,845,2.1,0.0,9.5,0.0,2018-02-28 18:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2155,19,2.5,95,1.9,838,1.7,0.0,0.0,0.0,2018-02-28 19:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2156,8,2.7,96,1.5,1479,2.1,0.0,0.0,0.0,2018-02-28 20:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2157,10,2.4,95,2.5,1349,1.6,0.0,9.0,0.0,2018-02-28 21:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2158,13,2.3,96,1.9,1207,1.7,0.0,0.0,0.0,2018-02-28 22:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2159,23,1.8,96,1.2,745,1.2,0.0,0.0,0.0,2018-02-28 23:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2160,71,2.0,96,1.3,1894,1.4,0.0,2.0,0.0,2018-03-01 00:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2161,147,2.1,97,0.2,859,1.6,0.0,0.0,0.0,2018-03-01 01:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2162,180,2.0,97,1.0,580,1.5,0.0,0.0,0.0,2018-03-01 02:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2163,92,1.6,97,2.3,469,1.1,0.0,0.1,0.0,2018-03-01 03:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2164,28,1.6,97,1.1,636,1.1,0.0,0.0,0.0,2018-03-01 04:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2165,11,2.2,97,2.9,362,1.7,0.0,0.0,0.0,2018-03-01 05:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2166,33,3.0,96,2.7,303,2.4,0.0,0.4,0.0,2018-03-01 06:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2167,61,2.6,89,4.3,320,0.9,0.0,0.0,0.0,2018-03-01 07:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2168,148,1.5,80,3.2,1246,-1.5,0.04,0.0,0.0,2018-03-01 08:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2169,160,0.1,78,4.9,615,-3.2,0.09,0.0,0.0,2018-03-01 09:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2170,191,0.1,53,5.3,1022,-8.3,1.12,0.0,0.0,2018-03-01 10:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2171,239,0.8,52,4.6,1035,-7.9,2.2,0.0,0.0,2018-03-01 11:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2172,311,0.5,46,4.7,1172,-9.8,2.49,0.0,0.0,2018-03-01 12:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2173,358,1.4,37,4.0,1681,-11.7,2.95,0.0,0.0,2018-03-01 13:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2174,375,1.2,36,6.0,1430,-12.2,2.86,0.0,0.0,2018-03-01 14:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2175,458,1.6,35,4.5,1567,-12.2,2.54,0.0,0.0,2018-03-01 15:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2176,460,1.4,33,4.8,1480,-13.1,1.98,0.0,0.0,2018-03-01 16:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2177,423,0.4,37,5.2,1366,-12.6,1.23,0.0,0.0,2018-03-01 17:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2178,317,-0.8,40,4.7,1429,-12.7,0.43,0.0,0.0,2018-03-01 18:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2179,231,-1.7,45,3.3,1375,-12.1,0.01,0.0,0.0,2018-03-01 19:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2180,246,-2.2,49,3.5,1325,-11.4,0.0,0.0,0.0,2018-03-01 20:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2181,212,-3.0,50,3.7,1301,-11.9,0.0,0.0,0.0,2018-03-01 21:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2182,190,-3.6,52,3.7,1277,-12.0,0.0,0.0,0.0,2018-03-01 22:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2183,190,-4.0,52,3.4,1272,-12.4,0.0,0.0,0.0,2018-03-01 23:00:00,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2184,156,-4.3,53,2.6,1334,-12.4,0.0,0.0,0.0,2018-03-02 00:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2185,108,-4.6,52,2.1,1372,-12.9,0.0,0.0,0.0,2018-03-02 01:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2186,71,-5.3,52,1.2,1434,-13.6,0.0,0.0,0.0,2018-03-02 02:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2187,49,-5.7,50,1.7,1559,-14.4,0.0,0.0,0.0,2018-03-02 03:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2188,47,-5.8,48,1.5,1552,-15.0,0.0,0.0,0.0,2018-03-02 04:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2189,65,-6.1,49,1.0,1621,-15.1,0.0,0.0,0.0,2018-03-02 05:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2190,135,-6.4,50,1.5,1593,-15.1,0.0,0.0,0.0,2018-03-02 06:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2191,401,-6.6,52,0.5,1555,-14.8,0.0,0.0,0.0,2018-03-02 07:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2192,617,-6.2,45,0.4,1600,-16.2,0.17,0.0,0.0,2018-03-02 08:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2193,343,-4.6,34,1.2,1583,-18.1,0.87,0.0,0.0,2018-03-02 09:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2194,274,-1.8,30,2.1,1608,-17.1,1.59,0.0,0.0,2018-03-02 10:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2195,343,0.1,30,1.8,1640,-15.4,2.19,0.0,0.0,2018-03-02 11:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2196,388,1.8,26,2.2,1556,-15.7,2.61,0.0,0.0,2018-03-02 12:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2197,375,2.3,22,3.1,1627,-17.2,2.83,0.0,0.0,2018-03-02 13:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2198,450,3.4,23,2.4,1545,-15.8,2.74,0.0,0.0,2018-03-02 14:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2199,463,4.3,22,1.3,1837,-15.6,2.48,0.0,0.0,2018-03-02 15:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2200,574,5.2,21,2.1,1721,-15.4,1.97,0.0,0.0,2018-03-02 16:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2201,631,4.3,21,2.5,1961,-16.1,1.13,0.0,0.0,2018-03-02 17:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2202,854,3.5,22,0.9,1961,-16.2,0.43,0.0,0.0,2018-03-02 18:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2203,568,2.0,26,2.3,1985,-15.5,0.02,0.0,0.0,2018-03-02 19:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2204,427,1.2,35,2.5,1977,-12.6,0.0,0.0,0.0,2018-03-02 20:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2205,396,1.0,34,1.4,1880,-13.1,0.0,0.0,0.0,2018-03-02 21:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2206,414,0.5,38,0.9,1907,-12.2,0.0,0.0,0.0,2018-03-02 22:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2207,284,0.3,38,0.2,1895,-12.3,0.0,0.0,0.0,2018-03-02 23:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2208,218,0.5,34,0.4,1889,-13.5,0.0,0.0,0.0,2018-03-03 00:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2209,229,0.6,36,0.4,1933,-12.7,0.0,0.0,0.0,2018-03-03 01:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2210,176,0.9,35,0.5,1856,-12.8,0.0,0.0,0.0,2018-03-03 02:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2211,149,0.8,38,0.8,1594,-11.9,0.0,0.0,0.0,2018-03-03 03:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2212,93,0.6,43,0.9,1599,-10.5,0.0,0.0,0.0,2018-03-03 04:00:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
